,Country,GDP
2014-11-30,Argentina,0.516380506
2014-12-01,Argentina,0.516380506
2014-12-02,Argentina,0.516380506
2014-12-03,Argentina,0.516380506
2014-12-04,Argentina,0.516380506
2014-12-05,Argentina,0.516380506
2014-12-06,Argentina,0.516380506
2014-12-07,Argentina,0.516380506
2014-12-08,Argentina,0.516380506
2014-12-09,Argentina,0.516380506
2014-12-10,Argentina,0.516380506
2014-12-11,Argentina,0.516380506
2014-12-12,Argentina,0.516380506
2014-12-13,Argentina,0.516380506
2014-12-14,Argentina,0.516380506
2014-12-15,Argentina,0.516380506
2014-12-16,Argentina,0.516380506
2014-12-17,Argentina,0.516380506
2014-12-18,Argentina,0.516380506
2014-12-19,Argentina,0.516380506
2014-12-20,Argentina,0.516380506
2014-12-21,Argentina,0.516380506
2014-12-22,Argentina,0.516380506
2014-12-23,Argentina,0.516380506
2014-12-24,Argentina,0.516380506
2014-12-25,Argentina,0.516380506
2014-12-26,Argentina,0.516380506
2014-12-27,Argentina,0.516380506
2014-12-28,Argentina,0.516380506
2014-12-29,Argentina,0.516380506
2014-12-30,Argentina,0.516380506
2014-12-31,Argentina,0.516380506
2015-01-01,Argentina,1.430177297
2015-01-02,Argentina,1.430177297
2015-01-03,Argentina,1.430177297
2015-01-04,Argentina,1.430177297
2015-01-05,Argentina,1.430177297
2015-01-06,Argentina,1.430177297
2015-01-07,Argentina,1.430177297
2015-01-08,Argentina,1.430177297
2015-01-09,Argentina,1.430177297
2015-01-10,Argentina,1.430177297
2015-01-11,Argentina,1.430177297
2015-01-12,Argentina,1.430177297
2015-01-13,Argentina,1.430177297
2015-01-14,Argentina,1.430177297
2015-01-15,Argentina,1.430177297
2015-01-16,Argentina,1.430177297
2015-01-17,Argentina,1.430177297
2015-01-18,Argentina,1.430177297
2015-01-19,Argentina,1.430177297
2015-01-20,Argentina,1.430177297
2015-01-21,Argentina,1.430177297
2015-01-22,Argentina,1.430177297
2015-01-23,Argentina,1.430177297
2015-01-24,Argentina,1.430177297
2015-01-25,Argentina,1.430177297
2015-01-26,Argentina,1.430177297
2015-01-27,Argentina,1.430177297
2015-01-28,Argentina,1.430177297
2015-01-29,Argentina,1.430177297
2015-01-30,Argentina,1.430177297
2015-01-31,Argentina,1.430177297
2015-02-01,Argentina,1.430177297
2015-02-02,Argentina,1.430177297
2015-02-03,Argentina,1.430177297
2015-02-04,Argentina,1.430177297
2015-02-05,Argentina,1.430177297
2015-02-06,Argentina,1.430177297
2015-02-07,Argentina,1.430177297
2015-02-08,Argentina,1.430177297
2015-02-09,Argentina,1.430177297
2015-02-10,Argentina,1.430177297
2015-02-11,Argentina,1.430177297
2015-02-12,Argentina,1.430177297
2015-02-13,Argentina,1.430177297
2015-02-14,Argentina,1.430177297
2015-02-15,Argentina,1.430177297
2015-02-16,Argentina,1.430177297
2015-02-17,Argentina,1.430177297
2015-02-18,Argentina,1.430177297
2015-02-19,Argentina,1.430177297
2015-02-20,Argentina,1.430177297
2015-02-21,Argentina,1.430177297
2015-02-22,Argentina,1.430177297
2015-02-23,Argentina,1.430177297
2015-02-24,Argentina,1.430177297
2015-02-25,Argentina,1.430177297
2015-02-26,Argentina,1.430177297
2015-02-27,Argentina,1.430177297
2015-02-28,Argentina,1.430177297
2015-03-01,Argentina,1.430177297
2015-03-02,Argentina,1.430177297
2015-03-03,Argentina,1.430177297
2015-03-04,Argentina,1.430177297
2015-03-05,Argentina,1.430177297
2015-03-06,Argentina,1.430177297
2015-03-07,Argentina,1.430177297
2015-03-08,Argentina,1.430177297
2015-03-09,Argentina,1.430177297
2015-03-10,Argentina,1.430177297
2015-03-11,Argentina,1.430177297
2015-03-12,Argentina,1.430177297
2015-03-13,Argentina,1.430177297
2015-03-14,Argentina,1.430177297
2015-03-15,Argentina,1.430177297
2015-03-16,Argentina,1.430177297
2015-03-17,Argentina,1.430177297
2015-03-18,Argentina,1.430177297
2015-03-19,Argentina,1.430177297
2015-03-20,Argentina,1.430177297
2015-03-21,Argentina,1.430177297
2015-03-22,Argentina,1.430177297
2015-03-23,Argentina,1.430177297
2015-03-24,Argentina,1.430177297
2015-03-25,Argentina,1.430177297
2015-03-26,Argentina,1.430177297
2015-03-27,Argentina,1.430177297
2015-03-28,Argentina,1.430177297
2015-03-29,Argentina,1.430177297
2015-03-30,Argentina,1.430177297
2015-03-31,Argentina,1.430177297
2015-04-01,Argentina,2.591096085
2015-04-02,Argentina,2.591096085
2015-04-03,Argentina,2.591096085
2015-04-04,Argentina,2.591096085
2015-04-05,Argentina,2.591096085
2015-04-06,Argentina,2.591096085
2015-04-07,Argentina,2.591096085
2015-04-08,Argentina,2.591096085
2015-04-09,Argentina,2.591096085
2015-04-10,Argentina,2.591096085
2015-04-11,Argentina,2.591096085
